timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Jan 9, 2026 @ 10:41:27.968",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:27.954",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:27.953",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:27.953",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:27.891",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:27.840",aditys-agent,"[""T1112""]","[""Defense Evasion""]",Registry Key Entry Added to the System,5,598
"Jan 9, 2026 @ 10:41:27.315",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:27.307",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:27.132",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:27.094",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:26.291",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:26.288",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:26.215",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:26.000",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:25.984",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
